epoch=41 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=687.1s
epoch=42 | loss_classifier=0.0037 | loss_box_reg=0.0040 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0080 | time=687.1s
epoch=43 | loss_classifier=0.0036 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0077 | time=687.8s
epoch=44 | loss_classifier=0.0036 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=688.3s
epoch=45 | loss_classifier=0.0037 | loss_box_reg=0.0038 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0077 | time=687.4s
epoch=46 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=687.5s
epoch=47 | loss_classifier=0.0037 | loss_box_reg=0.0040 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=687.3s
epoch=48 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=687.1s
epoch=49 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=686.4s
epoch=50 | loss_classifier=0.0038 | loss_box_reg=0.0040 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0080 | time=686.4s
