epoch=41 | loss_classifier=0.0038 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=724.5s
epoch=42 | loss_classifier=0.0039 | loss_box_reg=0.0040 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0081 | time=724.1s
epoch=43 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=723.3s
epoch=44 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=723.5s
epoch=45 | loss_classifier=0.0037 | loss_box_reg=0.0038 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=723.9s
epoch=46 | loss_classifier=0.0036 | loss_box_reg=0.0038 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0077 | time=724.6s
epoch=47 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=724.7s
epoch=48 | loss_classifier=0.0037 | loss_box_reg=0.0038 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=723.2s
epoch=49 | loss_classifier=0.0037 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0079 | time=723.1s
epoch=50 | loss_classifier=0.0036 | loss_box_reg=0.0039 | loss_objectness=0.0001 | loss_rpn_box_reg=0.0001 | total=0.0078 | time=721.6s
